
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0     12 195516 393244 2504352    0    0     0   692  788  715  7  2 92  0  0
 1  1     12 134144 395616 2550128    0    0     1  4473 3460 6083  9  7 80  5  0
 1  0     12 394916 398072 2320456    0    0     3 10934 4053 7384  9  9 73  9  0
 1  0     12 378048 398188 2341016    0    0     0 10504 4951 6940  9  5 84  2  0
 1  0     12 337928 398188 2349952    0    0     0   905  948  797  5  1 94  0  0
 0  1     12 253204 399188 2422692    0    0     0  6527 3409 6139  9  7 78  6  0
 0  0     12 288612 402128 2415340    0    0     0  7649 5420 10000  9  9 73  8  0
 0  0     12 267188 402236 2438272    0    0     0  7981 2320 3152  3  2 93  1  0
 1  0     12 262120 402244 2435704    0    0     0   932  925  803  3  1 96  0  0
 0  0     12 233316 402264 2443660    0    0     0  3722  836  717  7  1 92  0  0
 0  1     12 144532 405392 2517260    0    0     0  5317 3463 6142  9  7 79  5  0
 1  0     12 282992 406088 2408480    0    0     0 10752 4195 7658  8 10 73  9  0
 0  0     12 274120 406220 2417284    0    0     4  9411 3037 5295  2  3 91  4  0
 1  0     12 235560 406220 2429008    0    0     0  1881 1323  991 11  2 87  0  0
 0  0     12 230772 406220 2433224    0    0     0  1464  386  320  0  1 99  0  0
 0  0     12 228824 406220 2435416    0    0     0   988  228  202  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0     12 224884 406220 2439148    0    0     0  2258  300  250  0  0 99  0  0
 0  1     12 136948 407304 2510592    0    0     0  4637 3551 6386 11  8 75  6  0
 0  1     12 281284 410144 2402580    0    0     0  8843 5491 10202  9  9 74  8  0
 0  0     12 251524 410164 2430872    0    0     0 10686 2287 2737  4  3 91  2  0
 0  0     12 228404 410164 2424628    0    0     0  1102  510  396 11  2 88  0  0
 0  0     12 224816 410164 2428556    0    0     0   665  317  256  0  0 99  0  0
 0  0     12 220404 410164 2432976    0    0     0  1990  347  276  0  1 99  0  0
 2  0     12 125796 412292 2504464    0    0     0  5341 3630 6617 12  9 72  7  0
 1  1     12 300980 412920 2370572    0    0     0  8054 3780 6808 11 11 71  7  0
 1  0     12 275564 413212 2397000    0    0     0 11228 4043 6658  5  4 87  3  0
 1  0     12 248116 413212 2396020    0    0     0  1472  914  697 12  2 86  0  0
 1  0     12 156044 414448 2469596    0    0     0  4239 3353 5846  9  7 80  4  0
 3  0     12 151320 414828 2476548    0    0     0  4884 3301 5701 12  9 71  7  0
 0  0     12 256264 415840 2404120    0    0     6 16452 4450 8462  4  7 82  7  0
 0  0     12 232584 415840 2428856    0    0     0  1231  859  566  2  1 95  1  0
 0  0     12 208516 415840 2423288    0    0     0   937  509  368 11  2 87  0  0
 0  0     12 205020 415840 2427448    0    0     0  1506  262  219  0  0 99  0  0
 0  0     12 201092 415840 2431884    0    0     0  1336  296  235  0  1 99  0  0
 1  0     12 140716 417004 2479128    0    0     0  3805 2170 3862  3  4 90  3  0
 1  0     64 166112 417800 2449364    0    5     0  3459 3038 5344 15  9 71  5  0
 0  1     12 248280 419668 2384156    0    0     6 16884 5626 10565  8  9 75  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0     12 257228 419668 2391008    0    0     0   367  511  563  1  1 97  1  0
 0  0     12 242184 419668 2406340    0    0     0   952  560  643  2  1 97  0  0
 0  0     12 236392 419668 2412204    0    0     0   848  516  578  0  1 98  0  0
 1  0     12 214376 419668 2404316    0    0     0  1930  452  353 11  2 87  1  0
 0  0     12 209600 419668 2409012    0    0     0   477  370  327  0  1 99  0  0
 0  0     12 204860 419668 2414020    0    0     0  1461  420  346  0  1 99  0  0
 1  0     12 112224 420156 2485672    0    0     0  5135 3375 6143 10  7 75  7  0
 0  2     12 151176 422488 2466892    0    0     0  7652 4039 7212 13 11 70  6  0
 2  0     12 237132 422704 2402568    0    0    14 11264 5100 7590  6  6 82  7  0
 1  0     12 211388 422704 2399868    0    0     0  1496  740  611 11  2 87  0  0
 2  0     12 127516 423788 2471068    0    0     0  4060 3525 6159  9  7 79  5  0
 1  0     12 118112 423912 2475632    0    0     0  4506 3432 5924 12 10 71  7  0
 0  0     12 266132 427012 2364252    0    0     0 15230 3996 7766  4  5 84  7  0
 1  0     12 231764 427012 2399624    0    0     0  1964 1036  679  3  2 95  0  0
 0  0     12 217908 427012 2383296    0    0     0   200  325  263 11  2 88  0  0
 0  0     12 214348 427012 2387752    0    0     0  3361  308  238  0  0 99  0  0
 0  0     12 210648 427012 2391844    0    0     0  1310  290  241  0  0 99  1  0
 2  0     12 155748 427076 2430760    0    0     0  3504 1913 3391  2  4 90  4  0
 1  0     12 114796 427404 2467896    0    0     0  3578 3191 5680 15  8 71  6  0
 1  0     12 266268 429600 2355236    0    0     0  5299 5769 10772  9 10 76  5  0
 0  0     12 215848 429612 2376256    0    0     0 11980 2230 1643 15  3 79  3  0
